M,S,1,49
L,S,169018,9674,30
L,S,169019,9684,39
L,S,169020,9678,5
C,164403
M,S,169022,4
C,165869
L,S,169024,9686,50
M,B,169025,7
L,B,169026,9682,18
C,168235
L,B,169028,9673,45
L,S,169029,9682,27
L,B,169030,9678,27
L,S,169031,9690,48
C,165228
L,S,169033,9690,39
C,167203
M,S,169035,49
L,B,169036,9671,19
L,B,169037,9682,19
L,S,169038,9675,33
L,B,169039,9682,18
M,B,169040,33
M,S,169041,41
L,B,169042,9679,28
L,S,169043,9670,22
L,S,169044,9680,11
L,B,169045,9684,24
L,S,169046,9678,44
L,S,169047,9678,50
L,B,169048,9682,2
L,S,169049,9681,9
L,B,169050,9678,10
L,B,169051,9681,30
C,166164
L,B,169053,9686,37
L,S,169054,9686,14
L,B,169055,9684,34
L,S,169056,9681,21
L,B,169057,9683,40
M,B,169058,50
L,S,169059,9681,37
L,B,169060,9687,49
L,B,169061,9669,39
L,S,169062,9692,41
L,S,169063,9681,3
L,B,169064,9683,1
L,S,169065,9694,41
M,B,169066,9
C,168893
M,B,169068,15
L,B,169069,9682,36
L,S,169070,9682,2
L,S,169071,9676,28
L,B,169072,9675,19
L,S,169073,9662,23
L,B,169074,9690,10
M,B,169075,23
M,S,169076,31
L,B,169077,9675,21
L,B,169078,9675,20
L,B,169079,9676,37
L,S,169080,9675,34
L,B,169081,9678,26
L,B,169082,9677,32
L,B,169083,9688,36
L,S,169084,9676,26
L,S,169085,9685,9
L,B,169086,9677,44
C,164609
L,S,169088,9675,21
L,B,169089,9683,10
C,164311
L,B,169091,9680,28
L,B,169092,9686,49
L,S,169093,9675,43
L,B,169094,9677,38
M,B,169095,60
L,S,169096,9675,1
L,B,169097,9686,37
L,B,169098,9668,26
L,B,169099,9673,46
C,167911
M,S,169101,30
M,B,169102,4
C,164266
L,B,169104,9689,41
L,S,169105,9678,17
L,B,169106,9672,29
M,B,169107,48
C,165129
C,168293
L,S,169110,9674,5
L,S,169111,9675,34
L,B,169112,9673,6
L,B,169113,9676,39
C,166814
C,169093
L,S,169116,9681,39
L,B,169117,9683,40
L,S,169118,9687,50
M,S,169119,46
C,167069
C,164117
L,S,169122,9676,9
L,S,169123,9687,11
C,168291
L,S,169125,9675,2
L,S,169126,9682,24
L,B,169127,9684,41
L,B,169128,9681,20
L,S,169129,9679,38
L,B,169130,9678,28
L,B,169131,9671,20
M,B,169132,49
L,B,169133,9680,31
L,B,169134,9676,24
L,B,169135,9674,6
L,S,169136,9680,20
C,168541
L,B,169138,9669,38
C,166674
L,S,169140,9686,20
L,S,169141,9678,10
C,168461
L,S,169143,9684,45
L,S,169144,9671,2
L,S,169145,9670,44
L,B,169146,9684,34
L,S,169147,9678,3
L,B,169148,9681,1
C,164735
C,168847
L,S,169151,9673,15
L,B,169152,9691,48
L,B,169153,9668,37
L,B,169154,9690,14
L,S,169155,9675,19
L,S,169156,9682,2
L,B,169157,9670,38
L,B,169158,9677,9
L,B,169159,9678,4
L,S,169160,9681,25
C,166461
L,S,169162,9684,1
L,S,169163,9688,38
L,S,169164,9685,20
C,167314
L,S,169166,9677,21
L,S,169167,9671,25
M,S,169168,43
L,S,169169,9682,39
L,S,169170,9681,8
L,S,169171,9680,36
L,S,169172,9687,50
L,S,169173,9685,35
C,165411
L,B,169175,9666,13
L,S,169176,9674,25
L,S,169177,9688,23
C,168268
L,B,169179,9690,10
L,B,169180,9679,30
M,S,169181,55
L,B,169182,9679,31
L,B,169183,9679,42
L,S,169184,9676,20
L,S,169185,9661,7
L,B,169186,9693,38
L,S,169187,9687,15
L,S,169188,9687,44
L,S,169189,9677,33
C,166837
L,S,169191,9685,11
L,S,169192,9675,36
L,B,169193,9677,22
L,S,169194,9682,39
L,B,169195,9672,2
L,B,169196,9681,30
L,S,169197,9681,49
L,B,169198,9685,28
L,B,169199,9672,33
C,168828
L,B,169201,9666,9
L,S,169202,9668,7
L,B,169203,9680,13
L,B,169204,9682,45
L,B,169205,9672,33
L,B,169206,9683,35
C,167009
L,S,169208,9679,23
L,S,169209,9685,26
L,S,169210,9673,31
L,B,169211,9651,50
L,B,169212,9664,42
L,S,169213,9678,24
C,164606
L,B,169215,9686,11
L,B,169216,9689,6
L,B,169217,9684,48
L,B,169218,9667,12
L,S,169219,9662,32
L,S,169220,9676,2
M,S,169221,30
L,S,169222,9683,39
L,B,169223,9679,10
C,166040
L,S,169225,9675,9
L,S,169226,9679,44
L,S,169227,9685,18
L,S,169228,9683,18
M,S,169229,20
L,S,169230,9676,32
C,167731
L,B,169232,9684,12
L,S,169233,9684,5
L,S,169234,9665,28
L,S,169235,9689,7
L,B,169236,9666,11
L,S,169237,9686,7
L,S,169238,9674,16
L,B,169239,9676,37
L,S,169240,9680,5
L,S,169241,9672,35
L,S,169242,9683,1
L,B,169243,9679,30
L,B,169244,9678,9
L,S,169245,9682,30
L,S,169246,9670,49
C,167456
L,S,169248,9683,24
L,B,169249,9658,45
L,S,169250,9671,8
L,B,169251,9673,40
L,S,169252,9679,25
L,S,169253,9668,18
L,S,169254,9679,1
M,S,169255,57
L,S,169256,9671,23
L,B,169257,9679,2
L,S,169258,9665,40
L,B,169259,9668,46
L,B,169260,9678,36
C,168350
C,168061
L,B,169263,9667,15
L,S,169264,9680,2
L,B,169265,9681,50
L,B,169266,9689,22
L,S,169267,9670,12
L,B,169268,9676,21
L,S,169269,9668,13
L,S,169270,9673,46
L,S,169271,9672,50
L,B,169272,9677,30
L,B,169273,9697,14
L,S,169274,9676,22
L,B,169275,9674,43
L,B,169276,9681,13
L,B,169277,9685,15
L,S,169278,9685,33
L,B,169279,9683,6
L,S,169280,9677,23
C,165736
L,B,169282,9665,9
L,S,169283,9671,50
L,S,169284,9656,34
L,B,169285,9668,9
L,S,169286,9680,45
C,166217
M,S,169288,53
L,B,169289,9686,20
L,B,169290,9673,38
M,S,169291,33
M,B,169292,40
L,S,169293,9684,4
L,B,169294,9677,48
C,168716
L,S,169296,9656,50
L,S,169297,9683,28
L,S,169298,9675,29
M,S,169299,25
C,165992
L,B,169301,9664,19
L,S,169302,9675,24
L,S,169303,9675,26
L,S,169304,9691,24
L,S,169305,9681,7
L,S,169306,9664,45
L,B,169307,9671,47
L,S,169308,9685,20
L,B,169309,9671,38
L,B,169310,9674,13
L,S,169311,9684,13
L,S,169312,9680,47
L,B,169313,9679,18
L,B,169314,9685,39
L,B,169315,9675,40
L,S,169316,9669,12
L,B,169317,9671,35
L,B,169318,9687,9
L,B,169319,9674,49
L,B,169320,9683,34
C,164830
L,S,169322,9675,43
L,S,169323,9674,41
L,S,169324,9685,8
L,S,169325,9686,20
L,S,169326,9672,13
L,S,169327,9680,8
M,S,169328,51
C,166035
L,S,169330,9667,45
L,B,169331,9672,18
L,B,169332,9670,33
L,B,169333,9667,44
L,B,169334,9666,38
L,B,169335,9671,46
L,B,169336,9677,19
L,B,169337,9680,1
L,S,169338,9687,41
L,S,169339,9678,19
L,B,169340,9689,32
C,165652
L,B,169342,9668,44
L,S,169343,9673,23
L,S,169344,9659,6
L,B,169345,9684,40
L,S,169346,9671,31
C,167139
L,S,169348,9678,26
L,B,169349,9679,47
L,B,169350,9678,17
L,B,169351,9668,50
L,S,169352,9677,48
L,S,169353,9677,34
L,S,169354,9676,5
C,168091
C,169324
C,167204
L,B,169358,9675,11
L,B,169359,9659,48
L,B,169360,9665,1
L,B,169361,9668,12
L,B,169362,9676,41
L,S,169363,9680,39
L,B,169364,9670,17
M,B,169365,42
L,S,169366,9671,16
L,S,169367,9671,33
L,B,169368,9666,19
L,B,169369,9664,7
L,S,169370,9671,26
L,S,169371,9670,19
L,S,169372,9666,5
L,S,169373,9676,43
L,S,169374,9671,22
L,S,169375,9671,37
L,B,169376,9674,12
L,S,169377,9668,11
L,S,169378,9680,49
L,B,169379,9679,28
L,B,169380,9660,28
L,B,169381,9681,49
L,B,169382,9676,7
M,B,169383,12
C,168773
L,S,169385,9684,12
L,S,169386,9668,49
L,S,169387,9683,47
L,S,169388,9679,16
L,S,169389,9685,48
L,S,169390,9676,4
M,B,169391,12
M,B,169392,52
L,S,169393,9685,32
L,S,169394,9675,35
L,B,169395,9667,42
L,B,169396,9680,22
L,S,169397,9682,49
C,165080
L,S,169399,9686,44
L,B,169400,9681,25
L,B,169401,9686,46
M,B,169402,45
M,B,169403,12
L,B,169404,9679,14
C,165674
L,S,169406,9675,46
L,B,169407,9672,27
L,B,169408,9674,41
L,B,169409,9679,4
L,B,169410,9679,14
L,B,169411,9684,10
L,B,169412,9683,12
L,B,169413,9665,45
L,B,169414,9673,18
L,B,169415,9681,27
C,169086
C,168947
L,B,169418,9659,28
L,B,169419,9682,41
C,167063
C,167754
L,B,169422,9677,16
M,S,169423,49
C,167897
L,B,169425,9658,8
L,S,169426,9669,17
L,S,169427,9681,9
L,B,169428,9671,24
L,B,169429,9667,2
L,S,169430,9666,12
L,B,169431,9686,10
C,168951
M,B,169433,43
M,S,169434,55
L,B,169435,9671,12
L,B,169436,9663,11
M,S,169437,52
L,B,169438,9679,44
L,B,169439,9666,26
L,B,169440,9682,33
L,B,169441,9674,20
C,164866
L,B,169443,9671,27
L,S,169444,9680,3
L,B,169445,9684,14
C,167775
L,B,169447,9676,12
C,166486
L,B,169449,9674,48
L,B,169450,9684,33
L,S,169451,9679,20
M,S,169452,21
L,B,169453,9684,22
L,B,169454,9681,38
L,B,169455,9665,4
L,B,169456,9680,44
L,S,169457,9677,30
L,B,169458,9679,44
L,B,169459,9677,9
L,S,169460,9680,10
C,167240
C,169082
L,B,169463,9675,48
L,B,169464,9690,45
L,B,169465,9672,50
C,166455
C,167356
L,B,169468,9676,38
L,B,169469,9695,17
C,164512
L,B,169471,9690,39
L,B,169472,9681,7
L,S,169473,9681,23
L,B,169474,9690,10
M,B,169475,26
L,B,169476,9673,17
M,B,169477,35
L,S,169478,9680,41
L,B,169479,9685,34
L,S,169480,9675,45
L,S,169481,9688,42
M,B,169482,28
C,167404
L,B,169484,9672,15
L,S,169485,9676,23
L,B,169486,9678,28
C,166064
L,S,169488,9677,7
C,169010
L,S,169490,9683,34
L,S,169491,9681,38
L,B,169492,9672,43
L,S,169493,9672,47
L,S,169494,9685,22
L,S,169495,9690,2
L,B,169496,9679,7
C,166075
L,S,169498,9676,33
L,B,169499,9687,18
L,B,169500,9692,29
L,S,169501,9683,11
L,S,169502,9673,16
L,B,169503,9681,48
L,S,169504,9695,49
L,B,169505,9673,38
C,164740
C,165376
L,S,169508,9675,31
L,S,169509,9677,40
L,B,169510,9671,22
L,B,169511,9688,49
M,B,169512,13
C,168773
M,S,169514,13
C,169381
M,S,169516,52
C,165033
L,S,169518,9678,47
L,S,169519,9684,30
L,B,169520,9677,14
C,165120
M,B,169522,56
L,S,169523,9690,25
L,S,169524,9679,29
M,B,169525,13
L,S,169526,9682,11
L,S,169527,9698,19
L,S,169528,9681,16
L,S,169529,9668,1
C,168024
M,B,169531,41
L,S,169532,9676,13
L,B,169533,9681,6
L,S,169534,9670,20
L,B,169535,9671,50
L,S,169536,9682,50
L,S,169537,9682,29
L,S,169538,9681,20
L,B,169539,9679,31
L,B,169540,9678,24
L,S,169541,9674,31
L,S,169542,9676,33
L,S,169543,9675,42
L,S,169544,9661,13
L,B,169545,9667,40
L,B,169546,9678,5
L,S,169547,9671,15
L,B,169548,9684,22
L,S,169549,9673,41
L,B,169550,9675,5
M,B,169551,41
L,S,169552,9677,36
M,B,169553,36
L,S,169554,9678,9
L,B,169555,9679,19
L,S,169556,9675,7
L,S,169557,9671,3
L,B,169558,9673,42
M,B,169559,13
L,S,169560,9679,12
C,169294
L,S,169562,9671,29
L,B,169563,9674,30
L,B,169564,9673,38
L,S,169565,9681,30
L,S,169566,9681,28
M,S,169567,47
L,B,169568,9673,28
L,S,169569,9676,27
L,S,169570,9688,44
L,S,169571,9676,19
L,B,169572,9687,33
C,168493
L,S,169574,9680,11
C,165544
L,B,169576,9662,43
L,S,169577,9673,15
L,S,169578,9688,36
L,S,169579,9678,40
L,S,169580,9682,18
L,S,169581,9689,6
L,B,169582,9680,6
L,B,169583,9683,30
L,B,169584,9690,43
L,S,169585,9673,38
L,B,169586,9679,17
L,S,169587,9675,38
L,B,169588,9682,41
L,S,169589,9668,3
L,B,169590,9675,17
L,S,169591,9688,27
L,B,169592,9665,5
L,B,169593,9687,7
L,S,169594,9679,49
L,B,169595,9683,36
L,B,169596,9692,49
L,B,169597,9671,41
L,B,169598,9672,23
L,B,169599,9677,8
L,S,169600,9678,36
L,S,169601,9686,45
L,S,169602,9677,2
L,S,169603,9676,37
L,S,169604,9673,34
L,S,169605,9676,18
L,S,169606,9684,31
C,165820
L,S,169608,9673,2
L,S,169609,9666,11
M,S,169610,14
L,B,169611,9677,21
M,B,169612,33
M,S,169613,26
L,S,169614,9683,5
L,S,169615,9675,14
M,S,169616,33
L,S,169617,9683,2
L,S,169618,9682,29
L,B,169619,9690,44
L,S,169620,9686,14
L,S,169621,9690,45
L,S,169622,9679,8
L,B,169623,9694,47
M,B,169624,39
L,B,169625,9672,39
L,S,169626,9682,27
L,B,169627,9688,3
L,B,169628,9693,41
L,B,169629,9687,4
L,S,169630,9682,27
L,S,169631,9682,11
L,S,169632,9678,31
L,B,169633,9673,9
M,S,169634,7
M,S,169635,56
L,S,169636,9674,28
M,B,169637,35
L,S,169638,9667,27
L,B,169639,9684,50
L,B,169640,9683,7
L,B,169641,9686,5
L,B,169642,9687,15
L,B,169643,9685,19
L,S,169644,9680,6
L,B,169645,9679,17
M,S,169646,20
L,S,169647,9684,10
M,S,169648,39
L,B,169649,9680,31
L,B,169650,9680,43
L,S,169651,9671,21
L,B,169652,9683,30
L,S,169653,9686,14
L,S,169654,9666,17
L,S,169655,9671,43
C,167346
L,B,169657,9681,16
L,B,169658,9676,26
L,S,169659,9678,4
L,S,169660,9685,24
L,S,169661,9681,30
C,168257
L,B,169663,9687,36
L,B,169664,9675,2
L,S,169665,9677,17
M,B,169666,58
M,S,169667,48
L,B,169668,9674,49
C,167918
L,S,169670,9677,4
L,S,169671,9682,9
L,B,169672,9673,19
L,S,169673,9682,10
L,S,169674,9692,37
L,S,169675,9688,7
L,B,169676,9677,7
C,169638
L,S,169678,9677,4
M,B,169679,29
M,S,169680,51
L,B,169681,9684,15
C,168448
L,B,169683,9693,2
L,B,169684,9694,14
L,B,169685,9692,23
M,B,169686,30
L,B,169687,9688,4
L,B,169688,9691,15
L,S,169689,9704,50
L,B,169690,9685,44
L,B,169691,9691,47
L,S,169692,9683,18
L,S,169693,9697,50
L,S,169694,9680,6
L,B,169695,9698,36
L,B,169696,9681,6
L,B,169697,9686,9
L,S,169698,9692,42
L,S,169699,9697,10
L,S,169700,9702,4
L,B,169701,9687,19
C,164737
C,165627
L,B,169704,9678,7
L,S,169705,9697,23
L,B,169706,9683,18
L,S,169707,9699,24
L,S,169708,9691,14
L,S,169709,9690,2
C,166902
L,B,169711,9696,49
L,S,169712,9693,4
C,165812
L,B,169714,9690,3
L,S,169715,9688,20
L,S,169716,9685,5
L,B,169717,9683,7
L,B,169718,9692,23
L,S,169719,9688,11
L,S,169720,9688,32
L,B,169721,9692,30
M,S,169722,17
L,B,169723,9693,1
L,B,169724,9686,17
C,167848
L,S,169726,9683,22
L,S,169727,9705,1
L,S,169728,9693,20
L,S,169729,9686,46
M,S,169730,48
L,B,169731,9693,13
M,S,169732,35
M,S,169733,42
L,S,169734,9692,40
L,S,169735,9687,30
L,S,169736,9685,44
L,B,169737,9691,7
L,S,169738,9706,29
L,S,169739,9684,13
C,167282
L,B,169741,9689,20
L,B,169742,9682,28
C,166965
M,S,169744,54
L,B,169745,9699,27
C,166090
L,S,169747,9690,44
L,S,169748,9698,12
L,B,169749,9690,26
M,S,169750,27
L,B,169751,9703,48
L,B,169752,9684,36
L,S,169753,9696,17
L,S,169754,9707,32
L,S,169755,9696,21
L,B,169756,9707,1
L,S,169757,9692,22
L,B,169758,9701,43
L,S,169759,9690,2
L,B,169760,9687,41
L,B,169761,9697,33
L,S,169762,9692,19
L,B,169763,9699,39
L,B,169764,9698,1
L,S,169765,9704,33
L,B,169766,9709,38
M,B,169767,38
L,B,169768,9686,15
L,B,169769,9697,28
L,S,169770,9699,41
L,B,169771,9693,4
C,165045
L,S,169773,9693,11
C,168032
M,S,169775,57
L,S,169776,9695,8
L,B,169777,9698,14
L,B,169778,9704,37
C,167200
L,B,169780,9702,41
L,S,169781,9690,1
L,B,169782,9686,50
L,B,169783,9700,14
L,B,169784,9696,16
C,168555
M,S,169786,54
L,S,169787,9696,48
M,B,169788,47
L,S,169789,9683,23
L,B,169790,9690,2
L,S,169791,9679,43
L,S,169792,9697,11
M,S,169793,38
L,B,169794,9695,17
L,B,169795,9693,21
L,S,169796,9694,27
L,B,169797,9692,38
M,S,169798,24
L,S,169799,9700,15
L,B,169800,9694,47
L,B,169801,9694,35
L,B,169802,9694,15
L,S,169803,9704,16
L,S,169804,9707,30
L,B,169805,9697,21
L,S,169806,9695,46
C,165603
L,S,169808,9696,10
L,S,169809,9698,14
L,S,169810,9694,33
M,B,169811,14
L,B,169812,9689,25
L,S,169813,9701,50
L,S,169814,9687,19
L,S,169815,9710,38
C,168470
L,B,169817,9685,17
M,B,169818,15
L,B,169819,9706,24
M,B,169820,51
C,167114
L,S,169822,9699,5
L,B,169823,9695,43
L,S,169824,9701,3
L,B,169825,9702,35
L,S,169826,9699,3
L,S,169827,9698,22
L,S,169828,9701,23
L,S,169829,9704,50
L,B,169830,9698,38
L,S,169831,9695,31
L,S,169832,9688,40
C,167574
L,S,169834,9706,40
L,S,169835,9713,20
L,S,169836,9691,8
M,B,169837,24
C,168114
L,S,169839,9697,35
C,165777
L,B,169841,9691,32
C,166927
L,B,169843,9684,47
L,S,169844,9698,46
L,B,169845,9703,29
M,S,169846,23
L,B,169847,9703,1
L,B,169848,9693,41
L,S,169849,9690,18
M,S,169850,29
L,B,169851,9698,14
C,168664
M,S,169853,52
L,S,169854,9708,3
L,S,169855,9688,8
L,S,169856,9689,10
L,B,169857,9700,11
L,B,169858,9699,15
L,S,169859,9685,15
L,B,169860,9698,47
L,S,169861,9688,23
C,165372
C,168354
L,B,169864,9701,14
L,B,169865,9699,41
L,B,169866,9698,30
C,169695
L,S,169868,9694,17
L,S,169869,9714,23
L,B,169870,9697,28
L,S,169871,9703,48
L,S,169872,9712,24
L,B,169873,9693,27
L,S,169874,9703,26
L,S,169875,9703,43
L,S,169876,9700,36
L,B,169877,9708,19
C,167872
L,S,169879,9696,20
L,B,169880,9698,42
M,S,169881,1
L,S,169882,9703,11
L,S,169883,9695,12
C,169393
L,B,169885,9707,25
L,S,169886,9689,25
M,B,169887,20
C,164884
C,168289
L,S,169890,9691,32
L,B,169891,9695,40
L,S,169892,9692,6
L,B,169893,9707,13
L,B,169894,9710,39
L,B,169895,9708,40
L,S,169896,9702,24
L,B,169897,9702,12
L,B,169898,9698,41
L,S,169899,9692,30
L,B,169900,9708,36
L,S,169901,9700,46
L,B,169902,9704,22
L,S,169903,9696,31
L,S,169904,9697,47
L,S,169905,9697,14
C,168059
L,B,169907,9702,5
L,S,169908,9694,47
L,S,169909,9726,5
C,168814
L,S,169911,9687,9
C,167016
C,165596
M,S,169914,22
L,S,169915,9705,20
L,B,169916,9692,20
C,168593
L,S,169918,9698,38
C,169586
L,B,169920,9694,5
L,B,169921,9714,29
L,S,169922,9693,31
L,B,169923,9695,28
L,S,169924,9677,32
C,169893
L,B,169926,9688,38
L,S,169927,9699,44
L,S,169928,9709,27
L,B,169929,9687,12
M,S,169930,47
L,S,169931,9683,37
M,S,169932,19
L,S,169933,9687,34
L,B,169934,9691,30
L,B,169935,9694,41
L,S,169936,9690,47
L,S,169937,9698,10
C,169013
L,B,169939,9706,16
L,S,169940,9697,48
L,B,169941,9694,20
L,S,169942,9697,29
C,167662
L,S,169944,9689,48
L,S,169945,9695,4
M,S,169946,48
L,B,169947,9691,28
L,S,169948,9713,28
L,S,169949,9704,39
L,S,169950,9700,18
M,B,169951,33
L,B,169952,9715,20
L,S,169953,9707,31
L,S,169954,9704,43
L,B,169955,9693,50
L,S,169956,9704,12
L,S,169957,9694,48
L,S,169958,9694,15
L,S,169959,9685,27
L,S,169960,9698,15
L,S,169961,9688,20
L,S,169962,9706,32
M,S,169963,1
M,B,169964,26
L,B,169965,9701,35
C,168156
L,B,169967,9705,26
C,168741
L,B,169969,9685,47
L,S,169970,9695,40
L,B,169971,9682,1
L,S,169972,9701,34
L,B,169973,9704,8
M,S,169974,21
L,S,169975,9705,13
L,S,169976,9715,16
L,B,169977,9693,26
L,S,169978,9706,33
L,S,169979,9713,40
L,S,169980,9708,42
L,B,169981,9698,45
C,168279
L,S,169983,9712,47
L,S,169984,9706,39
L,B,169985,9722,32
L,S,169986,9707,40
L,B,169987,9705,28
M,B,169988,4
C,167123
L,B,169990,9710,10
L,S,169991,9701,37
L,S,169992,9692,4
C,168411
L,S,169994,9694,17
L,B,169995,9700,30
L,S,169996,9710,10
L,B,169997,9708,26
L,B,169998,9705,7
L,B,169999,9709,17
M,S,170000,59
L,B,170001,9720,23
C,166191
L,S,170003,9707,37
L,S,170004,9707,46
L,S,170005,9707,13
L,S,170006,9699,44
L,B,170007,9701,8
L,B,170008,9699,10
L,S,170009,9701,25
L,B,170010,9703,13
C,168842
C,166550
L,S,170013,9697,35
L,B,170014,9710,44
L,S,170015,9703,46
L,S,170016,9713,28
L,B,170017,9709,50
L,S,170018,9707,33
M,B,170019,45
L,B,170020,9707,37
C,166800
L,S,170022,9707,30
L,B,170023,9713,45
L,S,170024,9711,25
L,B,170025,9720,31
L,S,170026,9708,15
L,S,170027,9700,39
L,S,170028,9718,34
C,167078
L,B,170030,9697,19
C,169184
L,B,170032,9709,46
L,S,170033,9700,19
L,B,170034,9690,35
L,B,170035,9712,35
C,166298
L,S,170037,9701,10
L,S,170038,9715,12
L,S,170039,9714,46
L,B,170040,9706,4
L,B,170041,9705,32
L,S,170042,9709,39
L,S,170043,9705,18
M,B,170044,38
M,S,170045,3
L,S,170046,9713,30
L,B,170047,9707,48
L,S,170048,9718,42
L,S,170049,9718,20
L,S,170050,9713,23
L,B,170051,9722,32
L,B,170052,9717,50
L,S,170053,9710,4
L,S,170054,9717,32
L,S,170055,9704,17
L,B,170056,9720,2
L,S,170057,9705,41
C,167631
L,S,170059,9701,3
L,S,170060,9714,43
L,S,170061,9710,24
L,S,170062,9704,50
C,166924
L,S,170064,9719,13
L,S,170065,9709,27
L,S,170066,9727,15
L,B,170067,9719,21
L,S,170068,9708,17
M,B,170069,10
M,B,170070,9
L,B,170071,9712,6
L,S,170072,9701,2
L,B,170073,9717,25
L,S,170074,9719,37
L,S,170075,9711,24
M,S,170076,49
L,S,170077,9720,40
C,169871
L,B,170079,9717,43
C,167484
L,S,170081,9724,46
L,B,170082,9715,20
L,B,170083,9730,24
L,B,170084,9728,47
C,167168
M,B,170086,2
L,S,170087,9708,15
L,B,170088,9701,12
L,B,170089,9719,44
M,B,170090,4
L,B,170091,9720,31
C,167467
L,B,170093,9720,5
L,B,170094,9726,23
C,165261
L,B,170096,9722,5
L,S,170097,9704,26
L,S,170098,9724,48
L,B,170099,9723,39
L,S,170100,9719,30
C,167801
L,B,170102,9723,4
C,168529
L,B,170104,9708,26
L,B,170105,9719,32
L,S,170106,9725,50
L,B,170107,9707,45
L,B,170108,9727,7
C,165606
L,S,170110,9723,19
L,B,170111,9709,6
L,S,170112,9730,47
C,169045
L,S,170114,9715,10
C,166142
L,S,170116,9719,12
L,S,170117,9716,49
L,B,170118,9711,41
L,B,170119,9711,6
M,B,170120,48
L,S,170121,9716,24
L,S,170122,9727,39
L,S,170123,9719,3
L,B,170124,9731,12
M,B,170125,6
L,S,170126,9721,2
L,S,170127,9726,48
M,B,170128,38
M,S,170129,28
L,B,170130,9724,11
L,S,170131,9721,15
C,168735
L,S,170133,9716,43
M,B,170134,51
L,S,170135,9713,26
C,168718
M,S,170137,8
C,166299
L,S,170139,9719,9
M,S,170140,59
L,S,170141,9712,26
M,B,170142,14
L,S,170143,9699,15
L,B,170144,9720,36
M,B,170145,30
L,S,170146,9718,5
C,170105
L,S,170148,9711,38
L,S,170149,9723,16
L,S,170150,9719,9
L,S,170151,9713,50
L,S,170152,9722,37
L,B,170153,9712,41
C,169217
L,S,170155,9718,17
C,168824
L,B,170157,9717,1
C,165302
L,B,170159,9728,4
L,S,170160,9710,23
L,B,170161,9712,14
L,S,170162,9731,20
C,167376
L,S,170164,9720,15
C,165664
C,170022
L,S,170167,9725,49
L,S,170168,9711,49
L,B,170169,9719,2
M,S,170170,40
L,B,170171,9724,49
L,B,170172,9718,33
M,B,170173,24
L,B,170174,9707,24
C,165399
L,S,170176,9715,9
L,S,170177,9708,46
L,B,170178,9715,1
L,B,170179,9701,15
L,B,170180,9709,13
L,B,170181,9703,16
L,B,170182,9717,47
L,S,170183,9715,50
L,B,170184,9713,22
C,169579
L,S,170186,9714,12
M,B,170187,2
L,B,170188,9701,44
L,B,170189,9726,40
L,B,170190,9722,25
L,S,170191,9712,13
L,S,170192,9725,4
L,B,170193,9709,23
C,169080
L,B,170195,9712,36
L,B,170196,9717,34
C,169589
L,S,170198,9720,2
L,S,170199,9715,37
L,B,170200,9722,20
C,166361
L,B,170202,9701,7
C,167992
L,S,170204,9719,14
L,S,170205,9716,13
M,B,170206,29
L,B,170207,9719,38
C,166143
C,168783
L,B,170210,9710,48
L,B,170211,9738,44
L,B,170212,9721,3
C,167801
C,165537
L,S,170215,9720,39
L,B,170216,9712,36
L,S,170217,9705,29
L,B,170218,9708,23
L,S,170219,9714,27
L,B,170220,9707,15
L,B,170221,9724,37
L,B,170222,9716,25
L,S,170223,9699,12
L,S,170224,9730,40
C,166998
L,S,170226,9708,4
L,B,170227,9718,12
L,S,170228,9727,21
L,S,170229,9716,30
C,165821
L,S,170231,9712,42
L,S,170232,9719,36
L,B,170233,9704,48
M,B,170234,28
L,S,170235,9721,13
L,B,170236,9717,6
C,169029
L,S,170238,9708,20
L,S,170239,9714,10
L,S,170240,9702,22
M,S,170241,37
L,B,170242,9717,50
L,B,170243,9720,17
L,B,170244,9718,38
C,167710
L,S,170246,9715,14
L,S,170247,9719,9
M,S,170248,53
L,B,170249,9714,48
M,B,170250,51
M,S,170251,4
C,166797
L,S,170253,9707,49
L,B,170254,9698,36
L,S,170255,9704,1
C,166631
M,B,170257,20
M,S,170258,34
L,S,170259,9708,35
M,S,170260,60
L,S,170261,9705,48
L,S,170262,9700,26
L,S,170263,9715,22
L,S,170264,9692,48
L,B,170265,9706,20
M,B,170266,24
L,B,170267,9707,11
L,S,170268,9702,2
C,167928
L,B,170270,9712,50
C,168560
L,B,170272,9715,17
L,S,170273,9698,14
L,B,170274,9713,20
L,B,170275,9703,23
L,B,170276,9710,32
C,167194
C,165407
L,S,170279,9718,28
C,166930
L,S,170281,9714,18
L,S,170282,9712,12
L,B,170283,9703,16
L,S,170284,9710,38
L,S,170285,9707,35
L,B,170286,9707,2
M,S,170287,10
L,S,170288,9713,41
L,S,170289,9695,14
L,S,170290,9715,49
L,B,170291,9697,41
L,S,170292,9709,41
L,B,170293,9715,39
L,B,170294,9707,45
L,B,170295,9695,44
L,S,170296,9699,39
L,B,170297,9702,12
L,B,170298,9699,40
M,S,170299,32
L,S,170300,9698,30
L,S,170301,9722,24
L,B,170302,9699,18
C,169717
M,B,170304,36
L,S,170305,9718,30
C,169364
L,B,170307,9700,37
L,B,170308,9712,49
M,B,170309,60
L,S,170310,9716,29
L,S,170311,9708,44
C,167185
L,B,170313,9713,47
C,165861
C,167901
L,B,170316,9713,19
L,B,170317,9706,14
C,167251
L,S,170319,9711,36
L,S,170320,9706,10
L,B,170321,9719,9
